agentCount,defectorRatio,temptation,density,avgCompliance,defectorPercolationProb,geometricPercolationProb,avgLargestClusterFrac
40,0.70,2.00,0.4000,0.3087,0.0000,0.0000,0.4588
40,0.80,1.10,0.4000,0.1988,0.0500,0.1000,0.5000
40,0.80,1.30,0.4000,0.2025,0.0000,0.0500,0.4787
40,0.80,1.50,0.4000,0.2125,0.0000,0.0000,0.4912
40,0.80,1.70,0.4000,0.2213,0.0500,0.1500,0.5113
40,0.80,2.00,0.4000,0.1900,0.0000,0.0000,0.4800
40,0.90,1.10,0.4000,0.1013,0.0000,0.0500,0.5925
40,0.90,1.30,0.4000,0.0900,0.0000,0.0500,0.6188
40,0.90,1.50,0.4000,0.1200,0.0000,0.0000,0.6063
40,0.90,1.70,0.4000,0.1038,0.0000,0.0500,0.6163
40,0.90,2.00,0.4000,0.0987,0.0000,0.0500,0.5900
50,0.10,1.10,0.5000,0.9050,0.0000,0.1000,0.0310
50,0.10,1.30,0.5000,0.8920,0.0000,0.1500,0.0370
50,0.10,1.50,0.5000,0.9030,0.0000,0.0500,0.0340
50,0.10,1.70,0.5000,0.9230,0.0000,0.1500,0.0320
50,0.10,2.00,0.5000,0.9020,0.0000,0.3000,0.0430
50,0.20,1.10,0.5000,0.7940,0.0000,0.1000,0.0780
50,0.20,1.30,0.5000,0.8210,0.0000,0.2000,0.0680
50,0.20,1.50,0.5000,0.8410,0.0000,0.2000,0.0560
50,0.20,1.70,0.5000,0.8130,0.0000,0.1500,0.0600
50,0.20,2.00,0.5000,0.7930,0.0000,0.2000,0.0890
50,0.30,1.10,0.5000,0.7190,0.0000,0.1500,0.1110
50,0.30,1.30,0.5000,0.7030,0.0000,0.0500,0.1090
50,0.30,1.50,0.5000,0.6990,0.0000,0.2500,0.1020
50,0.30,1.70,0.5000,0.6950,0.0000,0.2000,0.1240
50,0.30,2.00,0.5000,0.7110,0.0000,0.1000,0.0920
50,0.40,1.10,0.5000,0.5950,0.0000,0.3500,0.1810
50,0.40,1.30,0.5000,0.6110,0.0000,0.1000,0.1850
50,0.40,1.50,0.5000,0.5990,0.0000,0.2000,0.1800
50,0.40,1.70,0.5000,0.6090,0.0000,0.2500,0.1600
50,0.40,2.00,0.5000,0.6270,0.0000,0.2500,0.1570
50,0.50,1.10,0.5000,0.5060,0.0000,0.1000,0.2340
50,0.50,1.30,0.5000,0.5070,0.0000,0.2000,0.2480
50,0.50,1.50,0.5000,0.5040,0.0500,0.3000,0.2450
50,0.50,1.70,0.5000,0.4860,0.0000,0.0500,0.2980
50,0.50,2.00,0.5000,0.4890,0.0500,0.2500,0.3140
50,0.60,1.10,0.5000,0.4080,0.0500,0.2500,0.3440
50,0.60,1.30,0.5000,0.4220,0.0500,0.1500,0.3990
50,0.60,1.50,0.5000,0.3880,0.0000,0.1500,0.3910
50,0.60,1.70,0.5000,0.4170,0.0000,0.0000,0.3120
50,0.60,2.00,0.5000,0.4120,0.0000,0.2000,0.3560
50,0.70,1.10,0.5000,0.3060,0.0000,0.2500,0.4520
50,0.70,1.30,0.5000,0.3060,0.0000,0.2000,0.4590
50,0.70,1.50,0.5000,0.2980,0.0000,0.1000,0.4770
50,0.70,1.70,0.5000,0.3130,0.0500,0.1500,0.4900
50,0.70,2.00,0.5000,0.2900,0.0000,0.0500,0.5040
50,0.80,1.10,0.5000,0.1970,0.1000,0.2000,0.6320
50,0.80,1.30,0.5000,0.2040,0.0500,0.2500,0.6490
50,0.80,1.50,0.5000,0.2090,0.0000,0.1000,0.6080
50,0.80,1.70,0.5000,0.2160,0.0500,0.2000,0.5800
50,0.80,2.00,0.5000,0.1800,0.0000,0.1500,0.6280
50,0.90,1.10,0.5000,0.1180,0.0500,0.2500,0.7140
50,0.90,1.30,0.5000,0.0890,0.1500,0.2000,0.7720
50,0.90,1.50,0.5000,0.0910,0.1500,0.2000,0.7240
50,0.90,1.70,0.5000,0.0990,0.1000,0.2000,0.6780
50,0.90,2.00,0.5000,0.1100,0.2500,0.3000,0.7550
60,0.10,1.10,0.6000,0.8967,0.0000,0.4000,0.0375
60,0.10,1.30,0.6000,0.9017,0.0000,0.2500,0.0350
60,0.10,1.50,0.6000,0.9083,0.0000,0.3000,0.0283
60,0.10,1.70,0.6000,0.8975,0.0000,0.2500,0.0317
60,0.10,2.00,0.6000,0.9058,0.0000,0.2000,0.0358
60,0.20,1.10,0.6000,0.7758,0.0000,0.3500,0.0767
60,0.20,1.30,0.6000,0.7958,0.0000,0.2500,0.0642
60,0.20,1.50,0.6000,0.8158,0.0000,0.3000,0.0667
60,0.20,1.70,0.6000,0.7958,0.0000,0.2000,0.0692
60,0.20,2.00,0.6000,0.8042,0.0000,0.5000,0.0692
60,0.30,1.10,0.6000,0.6933,0.0000,0.2500,0.1325
60,0.30,1.30,0.6000,0.6983,0.0000,0.5500,0.1042
60,0.30,1.50,0.6000,0.6842,0.0000,0.3000,0.1250
60,0.30,1.70,0.6000,0.6833,0.0000,0.3000,0.1258
60,0.30,2.00,0.6000,0.7100,0.0000,0.1500,0.1342
60,0.40,1.10,0.6000,0.6033,0.0000,0.3500,0.1983
60,0.40,1.30,0.6000,0.5950,0.0000,0.3000,0.1917
60,0.40,1.50,0.6000,0.5967,0.0000,0.4500,0.2075
60,0.40,1.70,0.6000,0.5967,0.0000,0.2500,0.1842
60,0.40,2.00,0.6000,0.5992,0.0000,0.6000,0.1875
60,0.50,1.10,0.6000,0.4950,0.0500,0.1500,0.2692
60,0.50,1.30,0.6000,0.5183,0.0000,0.3500,0.2517
60,0.50,1.50,0.6000,0.4817,0.1000,0.4000,0.3175
60,0.50,1.70,0.6000,0.5000,0.0000,0.4000,0.2900
60,0.50,2.00,0.6000,0.5017,0.0000,0.1500,0.2992
60,0.60,1.10,0.6000,0.4017,0.1000,0.4000,0.4358
60,0.60,1.30,0.6000,0.3950,0.0500,0.5000,0.4308
60,0.60,1.50,0.6000,0.4025,0.0000,0.1500,0.4117
60,0.60,1.70,0.6000,0.3875,0.0000,0.3000,0.4483
60,0.60,2.00,0.6000,0.3783,0.0500,0.3000,0.4058
60,0.70,1.10,0.6000,0.3017,0.1500,0.2500,0.5700
60,0.70,1.30,0.6000,0.3133,0.0500,0.3000,0.5550
60,0.70,1.50,0.6000,0.3017,0.0500,0.1500,0.6275
60,0.70,1.70,0.6000,0.2875,0.1000,0.2500,0.5858
60,0.70,2.00,0.6000,0.2992,0.0500,0.3500,0.5333
60,0.80,1.10,0.6000,0.1900,0.2500,0.3500,0.6567
60,0.80,1.30,0.6000,0.1850,0.1000,0.2500,0.7092
60,0.80,1.50,0.6000,0.1958,0.1000,0.3000,0.7217
60,0.80,1.70,0.6000,0.1942,0.3000,0.4500,0.7592
60,0.80,2.00,0.6000,0.1892,0.2500,0.2500,0.6592
